node-0,eu,node-1,ap
node-0,eu,node-2,us
node-0,eu,node-3,eu
node-0,eu,node-18,eu
node-0,eu,node-36,eu
node-0,eu,node-51,eu
node-1,ap,node-0,eu
node-1,ap,node-2,us
node-1,ap,node-4,ap
node-1,ap,node-16,ap
node-1,ap,node-34,ap
node-1,ap,node-49,ap
node-2,us,node-0,eu
node-2,us,node-1,ap
node-2,us,node-5,us
node-2,us,node-17,us
node-2,us,node-35,us
node-2,us,node-50,us
node-3,eu,node-0,eu
node-3,eu,node-4,ap
node-3,eu,node-5,us
node-3,eu,node-6,eu
node-3,eu,node-21,eu
node-3,eu,node-39,eu
node-4,ap,node-1,ap
node-4,ap,node-3,eu
node-4,ap,node-5,us
node-4,ap,node-7,ap
node-4,ap,node-19,ap
node-4,ap,node-37,ap
node-5,us,node-2,us
node-5,us,node-3,eu
node-5,us,node-4,ap
node-5,us,node-8,us
node-5,us,node-20,us
node-5,us,node-38,us
node-6,eu,node-3,eu
node-6,eu,node-7,ap
node-6,eu,node-8,us
node-6,eu,node-9,eu
node-6,eu,node-24,eu
node-6,eu,node-42,eu
node-7,ap,node-4,ap
node-7,ap,node-6,eu
node-7,ap,node-8,us
node-7,ap,node-10,ap
node-7,ap,node-22,ap
node-7,ap,node-40,ap
node-8,us,node-5,us
node-8,us,node-6,eu
node-8,us,node-7,ap
node-8,us,node-11,us
node-8,us,node-23,us
node-8,us,node-41,us
node-9,eu,node-6,eu
node-9,eu,node-10,ap
node-9,eu,node-11,us
node-9,eu,node-12,eu
node-9,eu,node-27,eu
node-9,eu,node-45,eu
node-10,ap,node-7,ap
node-10,ap,node-9,eu
node-10,ap,node-11,us
node-10,ap,node-13,ap
node-10,ap,node-25,ap
node-10,ap,node-43,ap
node-11,us,node-8,us
node-11,us,node-9,eu
node-11,us,node-10,ap
node-11,us,node-14,us
node-11,us,node-26,us
node-11,us,node-44,us
node-12,eu,node-9,eu
node-12,eu,node-13,ap
node-12,eu,node-14,us
node-12,eu,node-15,eu
node-12,eu,node-30,eu
node-12,eu,node-48,eu
node-13,ap,node-10,ap
node-13,ap,node-12,eu
node-13,ap,node-14,us
node-13,ap,node-16,ap
node-13,ap,node-28,ap
node-13,ap,node-46,ap
node-14,us,node-11,us
node-14,us,node-12,eu
node-14,us,node-13,ap
node-14,us,node-17,us
node-14,us,node-29,us
node-14,us,node-47,us
node-15,eu,node-12,eu
node-15,eu,node-16,ap
node-15,eu,node-17,us
node-15,eu,node-18,eu
node-15,eu,node-33,eu
node-15,eu,node-51,eu
node-16,ap,node-13,ap
node-16,ap,node-15,eu
node-16,ap,node-17,us
node-16,ap,node-19,ap
node-16,ap,node-31,ap
node-16,ap,node-49,ap
node-17,us,node-14,us
node-17,us,node-15,eu
node-17,us,node-16,ap
node-17,us,node-20,us
node-17,us,node-32,us
node-17,us,node-50,us
node-18,eu,node-0,eu
node-18,eu,node-15,eu
node-18,eu,node-19,ap
node-18,eu,node-20,us
node-18,eu,node-21,eu
node-18,eu,node-36,eu
node-19,ap,node-1,ap
node-19,ap,node-16,ap
node-19,ap,node-18,eu
node-19,ap,node-20,us
node-19,ap,node-22,ap
node-19,ap,node-34,ap
node-20,us,node-2,us
node-20,us,node-17,us
node-20,us,node-18,eu
node-20,us,node-19,ap
node-20,us,node-23,us
node-20,us,node-35,us
node-21,eu,node-3,eu
node-21,eu,node-18,eu
